Year,Team,Australia,Malaysia,China,Spain,Monaco,Canada,United_Kingdom,Hungary,Belgium,Italy,Singapo,Japan,Brazil,United_Arab_Emirates,Bahrain,United_States,France,Germany,Turkey,San_Marino,Austria,Korea,India,Russia,Mexico
2009,Red Bull,0,1.5,18,11,4,,18,6,6,1,5,10,15,18,8,,,18,14,,,,,,
2009,McLaren,0,1,7,0,0,,0,14,3,3,12,6,6,0,5,,,1,0,,,,,,
2009,Ferrari,0,0,0,3,11,,6,8,10,6,0,5,3,0,3,,,6,3,,,,,,
2009,Toyota,11,5.5,2,0,0,,2,4,0,0,8,8,0,5,8,,,0,6,,,,,,
2009,BMW Sauber,0,4,0,2,0,,0,0,9,2,1,3,8,4,0,,,0,2,,,,,,
2009,Williams,3,0.5,0,1,3,,4,5,1,0,0,4,0,0,0,,,5,4,,,,,,
2009,Renault,4,0,0,4,2,,0,0,0,4,6,0,0,0,1,,,2,0,,,,,,
2009,Force India,0,0,0,0,0,,0,0,8,5,0,0,0,0,0,,,0,0,,,,,,
2009,Toro Rosso,3,0,1,0,1,,0,0,0,0,0,0,2,1,0,,,0,0,,,,,,
2010,Red Bull,2,43,12,40,43,22,31,40,18,20,33,43,43,29,16,,,23,15,,,0,,,
2010,McLaren,33,12,43,10,10,43,30,4,25,18,12,22,22,33,21,,,22,43,,,18,,,
2010,Ferrari,27,6,14,26,20,15,0,30,12,40,29,15,15,7,43,,,43,10,,,40,,,
2010,Mercedes,11,15,16,12,6,8,17,0,14,12,10,8,14,12,18,,,6,22,,,12,,,
2010,Renault,18,12,16,4,15,6,0,10,17,4,6,0,2,18,0,,,7,8,,,10,,,
2010,Williams,4,1,0,2,0,0,11,9,0,7,9,2,4,0,1,,,0,0,,,7,,,
2010,Force India,6,10,0,6,6,3,4,0,11,0,2,0,0,0,2,,,0,2,,,8,,,
2010,BMW Sauber,0,0,0,0,0,0,8,8,4,0,0,10,1,0,0,,,0,1,,,6,,,
2010,Toro Rosso,0,2,0,1,1,4,0,0,0,0,0,1,0,2,0,,,0,0,,,0,,,
2010,Lotus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,0,,,
2011,Red Bull,35,37,33,37,37,33,33,28,43,25,40,27,43,12,,,,27,43,,,40,37,,
2011,McLaren,26,22,37,33,23,25,12,37,15,30,28,35,15,40,,,,25,20,,,30,24,,
2011,Ferrari,18,18,14,10,18,8,35,23,16,23,14,24,22,28,,,,28,15,,,18,15,,
2011,Mercedes,0,2,14,14,0,12,10,2,18,10,6,9,6,14,,,,10,10,,,4,18,,
2011,Renault,15,15,2,4,4,10,4,0,2,2,0,2,1,0,,,,1,10,,,0,0,,
2011,Force India,3,1,0,0,6,0,0,6,6,4,12,0,12,6,,,,8,0,,,1,2,,
2011,Sauber,0,6,1,3,10,6,6,0,0,0,1,4,2,1,,,,2,1,,,0,1,,
2011,Toro Rosso,4,0,0,0,1,5,1,5,0,7,0,0,0,0,,,,0,2,,,8,4,,
2011,Williams,0,0,0,0,2,2,0,0,1,0,0,0,0,0,,,,0,0,,,0,0,,
2011,Lotus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,0,0,,
2012,Red Bull,30,12,22,8,37,18,40,16,26,0,25,27,20,15,37,18,,14,,,,43,40,,
2012,Ferrari,10,25,2,18,23,11,30,12,10,27,19,18,33,24,8,27,,25,,,,27,26,,
2012,McLaren,40,15,33,6,10,25,5,33,25,25,18,22,25,12,4,35,,18,,,,1,22,,
2012,Lotus,6,10,8,27,2,22,18,33,15,10,14,8,1,25,33,14,,15,,,,16,8,,
2012,Mercedes,0,1,25,6,18,8,6,1,6,14,10,0,6,0,11,0,,7,,,,0,0,,
2012,Sauber,12,18,1,10,0,17,0,0,0,20,1,15,2,8,0,0,,20,,,,0,0,,
2012,Force India,1,8,0,1,10,0,0,0,13,4,12,6,10,2,8,4,,2,,,,8,4,,
2012,Williams,0,8,10,25,1,0,2,6,0,1,0,4,0,14,0,3,,0,,,,0,1,,
2012,Toro Rosso,2,4,0,0,0,0,0,0,6,0,2,1,4,1,0,0,,0,,,,6,0,,
2013,Red Bull,23,43,12,22,33,37,18,27,35,40,25,43,43,43,31,40,,31,,,,25,43,,
2013,Mercedes,10,27,15,8,37,25,37,25,27,10,22,4,12,21,12,14,,12,,,,16,4,,
2013,Ferrari,30,10,33,40,6,22,23,14,24,30,26,13,21,14,4,10,,12,,,,10,13,,
2013,Lotus,26,14,20,18,1,2,10,26,4,4,15,25,0,12,33,18,,33,,,,33,25,,
2013,McLaren,2,2,10,6,8,0,0,8,8,1,10,2,20,2,9,7,,1,,,,5,2,,
2013,Force India,10,0,4,6,12,7,8,0,2,0,1,0,0,9,12,0,,0,,,,0,0,,
2013,Sauber,0,4,1,0,0,0,1,0,0,10,2,14,4,0,0,8,,1,,,,12,14,,
2013,Toro Rosso,0,1,6,1,4,8,4,0,1,6,0,0,1,0,0,0,,0,,,,0,0,,
2013,Williams,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,,0,,,,0,0,,
2014,Mercedes,25,43,43,43,43,18,25,27,18,43,25,43,43,50,43,43,,40,,,43,,,43,
2014,Red Bull,0,15,22,27,15,40,25,31,35,18,33,27,10,32,20,21,,20,,,4,,,10,
2014,Williams,10,10,6,10,6,6,18,14,15,27,10,14,16,66,10,22,,18,,,27,,,15,
2014,Ferrari,18,12,19,14,12,9,8,26,18,2,16,0,14,6,3,8,,10,,,11,,,10,
2014,McLaren,33,10,0,0,9,14,18,1,8,5,1,10,14,20,0,4,,6,,,6,,,22,
2014,Force India,9,10,10,3,10,10,4,0,5,6,8,5,4,28,25,0,,7,,,10,,,1,
2014,Toro Rosso,6,1,1,0,0,4,3,2,2,0,8,2,0,0,0,1,,0,,,0,,,0,
2014,Lotus,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,2,,0,,,0,,,0,
2014,Sauber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,
2015,Mercedes,43,33,43,43,40,43,43,12,43,25,12,43,43,43,40,43,,,,,43,,,25,43
2015,Ferrari,15,37,27,25,26,22,19,15,6,28,40,27,27,27,28,15,,,,,12,,,22,0
2015,Williams,12,18,18,20,0,23,22,0,10,27,10,10,10,4,13,0,,,,,25,,,12,23
2015,Red Bull,8,3,2,7,22,2,8,33,12,5,0,0,6,9,10,1,,,,,1,,,10,22
2015,Force India,7,0,0,0,6,4,8,0,10,14,8,8,8,16,4,10,,,,,10,,,15,10
2015,Lotus,0,0,6,4,0,7,0,6,15,0,10,10,5,2,6,4,,,,,6,,,6,1
2015,Toro Rosso,2,10,0,2,1,0,0,12,4,0,3,3,2,0,0,18,,,,,4,,,1,2
2015,Sauber,14,0,5,0,2,0,0,1,1,2,0,0,0,0,0,2,,,,,0,,,8,0
2015,McLaren,0,0,0,0,4,0,1,12,0,0,0,0,0,0,0,8,,,,,0,,,2,0
